ratings,price,brand,color,storage,processor_type,resolution,size
4.2,291,redmi,black,128GB,mediatek,Full HD,6.7
4.5,255,oppo,green,128GB,mediatek,Full HD,6.5
4.2,159,redmi,white,64GB,intel,Full HD,6.4
4.1,267,oneplus,blue,256GB,qualcomm,Full HD,6.4
4.3,121,infinix,green,64GB,mediatek,Full HD,6.6
4.0,158,samsung,green,128GB,qualcomm,HD,6.5
4.5,194,vivo,black,64GB,qualcomm,Full HD,6.5
4.3,133,oppo,black,32GB,mediatek,HD,6.5
4.2,133,redmi,white,64GB,intel,Full HD,6.5
4.2,213,mi,black,128GB,qualcomm,Full HD,6.7
4.5,175,vivo,black,256GB,qualcomm,2K,6.8
4.4,279,oppo,black,64GB,mediatek,Full HD,6.2
4.1,232,oneplus,green,128GB,intel,Full HD,6.7
4.2,115,redmi,green,128GB,mediatek,HD,6.5
4.6,395,oppo,blue,256GB,mediatek,Full HD,6.7
4.3,115,vivo,green,32GB,mediatek,HD,6.5
4.2,206,redmi,black,64GB,mediatek,Full HD,6.5
4.2,291,oneplus,grey,128GB,intel,Full HD,6.4
4.3,291,vivo,gold,128GB,intel,Full HD,6.4
4.2,158,infinix,black,128GB,mediatek,Full HD,6.7
4.5,115,oppo,gold,64GB,mediatek,HD,6.6
4.2,182,infinix,black,64GB,mediatek,Full HD,6.7
4.3,315,oneplus,silver,128GB,intel,4K,6.6
4.2,194,infinix,grey,128GB,mediatek,Full HD,6.7
4.4,182,vivo,purple,64GB,mediatek,HD,6.2
4.2,267,xiaomi,blue,128GB,intel,4K,6.5
4.1,170,mi,gold,128GB,qualcomm,Full HD,6.0
4.4,212,oppo,blue,128GB,mediatek,HD,6.6
4.2,243,redmi,blue,128GB,mediatek,Full HD,6.5
4.5,182,redmi,black,64GB,qualcomm,Full HD,6.3
4.1,164,infinix,green,128GB,mediatek,4K,6.6
4.2,395,oppo,silver,256GB,mediatek,Full HD,6.7
4.3,371,motorola,grey,128GB,qualcomm,Full HD,6.5
4.2,196,samsung,blue,128GB,mediatek,HD,6.5
4.2,191,redmi,green,128GB,intel,Full HD,6.6
4.2,133,infinix,blue,64GB,mediatek,Full HD,6.7
4.3,273,realme,blue,256GB,mediatek,Full HD,6.7
4.3,206,realme,white,128GB,mediatek,Full HD,6.4
4.4,243,vivo,blue,128GB,qualcomm,Full HD,6.5
4.1,133,realme,silver,32GB,mediatek,HD,6.5
4.2,157,samsung,black,128GB,samsung,Full HD,6.6
4.4,127,realme,blue,64GB,mediatek,HD,6.2
4.2,109,tecno,blue,64GB,mediatek,HD,6.5
4.2,291,mi,white,128GB,qualcomm,Full HD,6.7
4.2,291,redmi,purple,128GB,mediatek,Full HD,6.7
4.1,224,samsung,black,64GB,samsung,Full HD,6.6
4.0,206,redmi,blue,128GB,qualcomm,Full HD,6.7
4.2,128,oneplus,black,256GB,intel,Full HD,6.7
4.5,134,oneplus,green,256GB,intel,2K,6.7
4.5,206,oppo,blue,64GB,mediatek,HD,5.7
4.2,139,infinix,blue,64GB,mediatek,4K,6.6
4.4,187,vivo,white,128GB,qualcomm,Full HD,6.6
4.5,176,realme,black,128GB,qualcomm,Full HD,6.3
4.3,364,oneplus,green,128GB,intel,Full HD,6.7
4.3,303,realme,black,128GB,mediatek,4K,6.4
4.4,218,realme,black,128GB,mediatek,Full HD,6.6
4.4,510,oppo,gold,256GB,mediatek,Full HD,6.5
4.3,113,redmi,green,64GB,mediatek,Full HD,6.6
4.3,286,samsung,black,128GB,qualcomm,Full HD,6.7
4.3,182,oppo,black,128GB,qualcomm,Full HD,6.6
4.3,395,oppo,blue,256GB,mediatek,Full HD,6.7
4.3,157,oppo,blue,32GB,mediatek,HD,6.2
4.4,145,redmi,white,32GB,qualcomm,Full HD,6.3
4.5,164,realme,black,64GB,mediatek,Full HD,6.5
4.3,265,oneplus,blue,128GB,intel,Full HD,6.6
4.4,194,vivo,black,32GB,mediatek,HD,6.2
4.4,230,vivo,black,64GB,qualcomm,HD,6.2
4.2,103,tecno,blue,64GB,mediatek,4K,6.6
4.3,115,tecno,blue,64GB,intel,4K,6.8
4.3,192,oppo,blue,128GB,mediatek,HD,6.5
4.3,181,redmi,white,128GB,intel,Full HD,6.7
4.2,170,samsung,black,128GB,samsung,Full HD,6.6
4.4,133,redmi,black,32GB,qualcomm,Full HD,6.0
